feature,importance
neighborhood_Riyad Extension,1.4696615104009375e-10
neighborhood_Wafa,1.465359701146302e-10
neighborhood_Bab Doukkala,1.4433114429471292e-10
neighborhood_Wislane,1.4189276745191846e-10
neighborhood_El Alia,1.4047209846759715e-10
neighborhood_Hay Al Farah,1.3973128883142944e-10
neighborhood_Marchan,1.363115601164073e-10
neighborhood_Hay Nahda,1.2944661116067453e-10
neighborhood_Hay Lazaret,1.2261461415095676e-10
neighborhood_Hay Charaf,1.2180961897985987e-10
neighborhood_Allal El Fassi,1.203293631650172e-10
neighborhood_Av Mokawama,1.1992529627618771e-10
neighborhood_Secteur Touristique,1.1876099570664388e-10
neighborhood_Amerchich,1.1769130555142898e-10
neighborhood_El Haddada,1.1593748552898298e-10
neighborhood_Du Golf,1.1026714888191504e-10
neighborhood_Quartier de l'Océan,1.0379465940088965e-10
city_Safi,1.0084036546414343e-10
neighborhood_Daoudiate,1.002454162236363e-10
neighborhood_Hay Al Amal,9.973527224267804e-11
city_Azemmour,9.850603296658907e-11
city_Tit Mellil,9.792539611410726e-11
neighborhood_Aakkari,9.680414587845609e-11
neighborhood_Al Moustakbal,9.165956261878731e-11
neighborhood_Corniche,9.146658512839652e-11
neighborhood_Ziana,9.027294187485213e-11
neighborhood_Issil,9.024466051889132e-11
neighborhood_Massira 1,8.949805112180348e-11
city_Tamaris,8.886472296299716e-11
neighborhood_Route de Ouarzazate,8.366127548878302e-11
neighborhood_Mandarona,8.32805777064997e-11
city_Taza,7.870003911942057e-11
neighborhood_Zitoune,7.802989543384499e-11
neighborhood_Hay Dakhla,7.716105950397985e-11
neighborhood_Talborjt,7.603684202364899e-11
neighborhood_Al Fida,7.556614976634882e-11
neighborhood_Al Maghrib Al Arabi,7.374117936527945e-11
city_Amizmiz,7.320118971914139e-11
neighborhood_Route d'El Jadida,7.226583622427524e-11
neighborhood_Hay Al Horria,6.980608598603367e-11
neighborhood_Bournazil,6.736222741089048e-11
neighborhood_Hay Essalam,6.640606956165386e-11
city_Sidi Bouzid,6.628999303865716e-11
neighborhood_Route Jerada,6.562979266838218e-11
neighborhood_Branes 1,6.405935668898674e-11
neighborhood_Al Boustane,6.158081533661551e-11
neighborhood_Hay Al Kamal,5.926153196565544e-11
city_Oued Laou,5.791467878895025e-11
city_Sefrou,5.7105877752750315e-11
neighborhood_Nahda-1,5.2917664199890326e-11
neighborhood_Hay Saada,5.207057639372838e-11
neighborhood_Mhannech,5.205773283562339e-11
neighborhood_Les Portes de Marrakech,5.197050378027576e-11
neighborhood_Hay El Qods,5.178412645368841e-11
neighborhood_Al Kawtar,5.176913765333158e-11
city_Essaouira,5.0040021639882405e-11
neighborhood_Lissasfa,4.894397983370475e-11
city_Inzegan,4.854575799744646e-11
neighborhood_Hoda,4.7859260327012894e-11
neighborhood_Batha,4.758567097298142e-11
neighborhood_Hamza,4.531500549431187e-11
neighborhood_Cité Adrar,4.4387903878735173e-11
neighborhood_Hay Atlas,4.384361158007861e-11
neighborhood_Assif,4.344570372180087e-11
city_El Hajeb,4.2769442029498526e-11
neighborhood_Azzouzia,4.208181597511897e-11
neighborhood_Najmat Al Janoub,4.1758531545021426e-11
neighborhood_Anza,4.1575832042033226e-11
neighborhood_Torrota,4.004577853240285e-11
